Kwartal;Bialystok;Bydgoszcz;Gdansk;Gdynia;Katowice;Kielce;Krakow;Lublin;Lodz;Olsztyn;Opole;Poznan;Rzeszow;Szczecin;Warszawa;Wroclaw
IV 2020;5 866;5 698;9 053;7 942;5 376;4 867;8 849;6 359;5 522;5 794;5 520;7 219;6 713;6 172;10 671;7 973
I 2021;5 892;5 689;9 315;8 017;5 370;4 973;8 945;6 767;5 433;5 805;5 567;7 285;6 627;6 341;10 879;8 057
II 2021;6 216;5 792;9 379;8 549;5 481;5 301;9 378;6 950;5 800;5 990;5 605;7 428;6 957;6 596;11 218;8 510
III 2021;6 320;5 861;9 771;8 745;5 728;5 377;9 696;7 176;6 075;6 208;5 774;7 677;7 033;6 776;11 585;8 563
IV 2021;6 552;6 102;10 275;8 998;5 842;5 716;9 999;7 362;6 158;6 372;6 083;7 864;7 495;7 111;11 845;8 953
I 2022;6 916;6 297;10 336;9 269;6 145;5 992;10 329;7 884;6 214;6 838;6 201;8 127;7 792;7 494;12 251;9 202
II 2022;7 531;6 440;10 771;9 801;6 288;6 188;10 746;7 887;6 652;7 016;6 463;8 566;8 216;7 695;12 714;9 686
III 2022;7 686;6 565;11 429;10 184;6 174;6 391;11 057;7 707;6 887;7 205;6 836;8 809;8 239;7 512;12 917;10 178
IV 2022;7 407;6 445;11 278;9 737;6 232;6 324;11 087;8 009;6 384;7 060;6 957;8 713;8 041;7 746;13 026;10 114
I 2023;7 599;6 389;10 970;9 414;6 319;6 384;11 016;7 765;6 579;6 859;6 852;8 690;8 133;7 580;13 069;9 980
II 2023;7 749;6 575;11 053;10 013;6 482;6 475;11 188;8 215;6 366;7 233;7 028;8 907;8 620;7 717;13 205;10 234
III 2023;8 038;6 532;11 629;10 051;6 726;6 562;11 988;8 461;6 768;7 287;7 291;9 281;8 843;8 196;13 763;10 709
IV 2023;8 163;6 895;11 824;10 286;7 144;6 992;12 562;8 607;6 987;7 444;7 409;9 721;9 381;7 963;14 177;11 112
I 2024;8 452;7 249;12 242;10 667;7 526;7 287;13 654;8 822;7 496;7 726;7 934;10 212;9 457;8 660;15 230;11 594
II 2024;8 939;7 333;12 807;11 549;7 536;7 979;14 699;9 278;7 602;8 102;8 527;10 671;10 110;8 669;16 327;12 420
III 2024;9 529;7 399;12 944;11 580;7 824;7 932;15 070;9 713;8 024;8 486;8 581;10 907;10 590;9 384;16 869;12 792
IV 2024;9 590;7 180;13 158;11 789;8 001;8 045;15 235;9 687;7 592;8 326;8 684;10 936;10 597;8 916;16 960;12 950
I 2025;9 402;7 417;12 279;11 544;8 016;8 100;15 099;9 929;7 799;8 424;8 774;10 831;10 659;8 811;16 459;12 675
